!MOLECULE
NS+ spectrum up to J=27 from CDMS v1 (Feb 2018)
!MOLECULAR WEIGHT
   46 
! NUMBER OF ENERGY LEVELS
          28
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.000000000   3.0  		 0
    2     1.671144699   9.0  		 1
    3     5.013361335  15.0  		 2
    4    10.026721816  21.0  		 3
    5    16.710998109  27.0  		 4
    6    25.066162257  33.0  		 5
    7    35.092086108  39.0  		 6
    8    46.788541676  45.0  		 7
    9    60.155299975  51.0  		 8
   10    75.192233751  57.0  		 9
   11    91.899015353  63.0  		10
   12   110.275517231  69.0  		11
   13   130.321209255  75.0  		12
   14   152.035864283  81.0  		13
   15   175.419156559  87.0  		14
   16   200.470553669  93.0  		15
   17   227.189830475  99.0  		16
   18   255.576358811 105.0  		17
   19   285.629808865 111.0  		18
   20   317.349554318 117.0  		19
   21   350.735066521 123.0  		20
   22   385.785917409 129.0  		21
   23   422.501378916 135.0  		22
   24   460.880922973 141.0  		23
   25   500.923821520 147.0  		24
   26   542.629446488 153.0  		25
   27   585.997169813 159.0  		26
   28   631.026063427 165.0  		27
! NUMBER OF RADIATIVE TRANSITIONS
          27
!TRANS + UPP + LOW + A(s^-1) + FREQ(GHz) + E_u/k(K)
     1     2     1  2.297E-06          50.09965770     2.40       
     2     3     2  2.206E-05         100.19847410     7.21       
     3     4     3  7.974E-05         150.29560700    14.43       
     4     5     4  1.960E-04         200.39021600    24.04       
     5     6     5  3.915E-04         250.48146300    36.06       
     6     7     6  6.869E-04         300.56850400    50.49       
     7     8     7  1.103E-03         350.65050000    67.32       
     8     9     8  1.660E-03         400.72658200    86.55       
     9    10     9  2.378E-03         450.79593300   108.18       
    10    11    10  3.279E-03         500.85772400   132.22       
    11    12    11  4.383E-03         550.91112910   158.66       
    12    13    12  5.710E-03         600.95524500   187.50       
    13    14    13  7.280E-03         650.98925800   218.75       
    14    15    14  9.116E-03         701.01239600   252.39       
    15    16    15  1.123E-02         751.02368720   288.43       
    16    17    16  1.366E-02         801.02237800   326.88       
    17    18    17  1.641E-02         851.00762400   367.72       
    18    19    18  1.950E-02         900.97853150   410.96       
    19    20    19  2.296E-02         950.93431140   456.59       
    20    21    20  2.681E-02        1000.87410490   504.63       
    21    22    21  3.106E-02        1050.79707060   555.06       
    22    23    22  3.573E-02        1100.70236710   607.88       
    23    24    23  4.086E-02        1150.58915290   663.10       
    24    25    24  4.644E-02        1200.45658680   720.72       
    25    26    25  5.251E-02        1250.30382730   780.72       
    26    27    26  5.908E-02        1300.13003310   843.12       
    27    28    27  6.619E-02        1349.93436270   907.90       
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
1 H2 scaled from He-NS+ rates by Cabrera-González et al 2018, https://doi.org/10.1093/mnras/sty2252
! NUMBER OF COLLISIONAL TRANSITIONS
378
! NUMBER OF TEMPERATURES
10 
! TEMPERATURES
10  21  41  61  81  101  156  206  256  306
! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
   1    2    1 1.25e-10 1.07e-10 9.57e-11 9.29e-11 9.31e-11 9.42e-11 9.81e-11 1.00e-10 1.00e-10 9.88e-11 
   2    3    1 4.07e-11 3.16e-11 2.63e-11 2.59e-11 2.68e-11 2.81e-11 3.15e-11 3.39e-11 3.56e-11 3.69e-11 
   3    3    2 2.08e-10 1.82e-10 1.62e-10 1.56e-10 1.56e-10 1.56e-10 1.60e-10 1.62e-10 1.63e-10 1.64e-10 
   4    4    1 3.14e-11 2.79e-11 2.58e-11 2.53e-11 2.52e-11 2.51e-11 2.45e-11 2.39e-11 2.33e-11 2.27e-11 
   5    4    2 7.92e-11 6.66e-11 5.73e-11 5.50e-11 5.49e-11 5.56e-11 5.85e-11 6.10e-11 6.32e-11 6.50e-11 
   6    4    3 2.21e-10 1.99e-10 1.80e-10 1.73e-10 1.71e-10 1.72e-10 1.75e-10 1.78e-10 1.79e-10 1.80e-10 
   7    5    1 2.04e-11 1.77e-11 1.46e-11 1.30e-11 1.19e-11 1.13e-11 1.03e-11 1.01e-11 1.00e-11 1.01e-11 
   8    5    2 7.13e-11 6.25e-11 5.55e-11 5.27e-11 5.13e-11 5.04e-11 4.87e-11 4.75e-11 4.65e-11 4.56e-11 
   9    5    3 1.01e-10 8.73e-11 7.56e-11 7.14e-11 7.00e-11 6.97e-11 7.10e-11 7.29e-11 7.47e-11 7.64e-11 
  10    5    4 2.19e-10 1.99e-10 1.83e-10 1.77e-10 1.76e-10 1.76e-10 1.79e-10 1.82e-10 1.84e-10 1.86e-10 
  11    6    1 1.63e-11 1.46e-11 1.22e-11 1.10e-11 1.03e-11 9.84e-12 9.31e-12 9.13e-12 9.03e-12 8.97e-12 
  12    6    2 4.44e-11 3.98e-11 3.35e-11 2.97e-11 2.71e-11 2.52e-11 2.24e-11 2.14e-11 2.10e-11 2.11e-11 
  13    6    3 8.40e-11 7.64e-11 6.89e-11 6.52e-11 6.31e-11 6.16e-11 5.90e-11 5.75e-11 5.63e-11 5.54e-11 
  14    6    4 1.06e-10 9.47e-11 8.39e-11 7.97e-11 7.80e-11 7.75e-11 7.83e-11 7.98e-11 8.14e-11 8.29e-11 
  15    6    5 2.04e-10 1.90e-10 1.78e-10 1.74e-10 1.73e-10 1.74e-10 1.78e-10 1.82e-10 1.84e-10 1.86e-10 
  16    7    1 1.27e-11 1.10e-11 8.76e-12 7.44e-12 6.58e-12 5.96e-12 4.98e-12 4.57e-12 4.38e-12 4.33e-12 
  17    7    2 3.51e-11 3.14e-11 2.64e-11 2.36e-11 2.19e-11 2.09e-11 1.96e-11 1.92e-11 1.91e-11 1.90e-11 
  18    7    3 5.24e-11 4.81e-11 4.14e-11 3.71e-11 3.41e-11 3.20e-11 2.87e-11 2.73e-11 2.68e-11 2.68e-11 
  19    7    4 8.36e-11 7.89e-11 7.32e-11 7.01e-11 6.82e-11 6.68e-11 6.43e-11 6.27e-11 6.14e-11 6.05e-11 
