!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
99
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1        0.0000   1.0     0
    2        0.4057   3.0     1
    3        1.2171   5.0     2
    4        2.4343   7.0     3
    5        4.0571   9.0     4
    6        6.0857  11.0     5
    7        8.5199  13.0     6
    8       11.3598  15.0     7
    9       14.6055  17.0     8
   10       18.2568  19.0     9
   11       22.3137  21.0    10
   12       26.7763  23.0    11
   13       31.6446  25.0    12
   14       36.9185  27.0    13
   15       42.5980  29.0    14
   16       48.6831  31.0    15
   17       55.1738  33.0    16
   18       62.0701  35.0    17
   19       69.3719  37.0    18
   20       77.0793  39.0    19
   21       85.1922  41.0    20
   22       93.7105  43.0    21
   23      102.6344  45.0    22
   24      111.9637  47.0    23
   25      121.6984  49.0    24
   26      131.8385  51.0    25
   27      142.3840  53.0    26
   28      153.3349  55.0    27
   29      164.6910  57.0    28
   30      176.4525  59.0    29
   31      188.6192  61.0    30
   32      201.1911  63.0    31
   33      214.1683  65.0    32
   34      227.5506  67.0    33
   35      241.3380  69.0    34
   36      255.5305  71.0    35
   37      270.1281  73.0    36
   38      285.1307  75.0    37
   39      300.5383  77.0    38
   40      316.3508  79.0    39
   41      332.5682  81.0    40
   42      349.1905  83.0    41
   43      366.2176  85.0    42
   44      383.6495  87.0    43
   45      401.4861  89.0    44
   46      419.7274  91.0    45
   47      438.3733  93.0    46
   48      457.4238  95.0    47
   49      476.8788  97.0    48
   50      496.7383  99.0    49
   51      517.0023 101.0    50
   52      537.6707 103.0    51
   53      558.7433 105.0    52
   54      580.2203 107.0    53
   55      602.1015 109.0    54
   56      624.3868 111.0    55
   57      647.0762 113.0    56
   58      670.1697 115.0    57
   59      693.6672 117.0    58
   60      717.5687 119.0    59
   61      741.8739 121.0    60
   62      766.5830 123.0    61
   63      791.6959 125.0    62
   64      817.2124 127.0    63
   65      843.1325 129.0    64
   66      869.4562 131.0    65
   67      896.1833 133.0    66
   68      923.3139 135.0    67
   69      950.8478 137.0    68
   70      978.7849 139.0    69
   71     1007.1253 141.0    70
   72     1035.8688 143.0    71
   73     1065.0153 145.0    72
   74     1094.5648 147.0    73
   75     1124.5172 149.0    74
   76     1154.8724 151.0    75
   77     1185.6303 153.0    76
   78     1216.7910 155.0    77
   79     1248.3542 157.0    78
   80     1280.3199 159.0    79
   81     1312.6880 161.0    80
   82     1345.4584 163.0    81
   83     1378.6311 165.0    82
   84     1412.2060 167.0    83
   85     1446.1829 169.0    84
   86     1480.5619 171.0    85
   87     1515.3427 173.0    86
   88     1550.5254 175.0    87
   89     1586.1097 177.0    88
   90     1622.0957 179.0    89
   91     1658.4832 181.0    90
   92     1695.2722 183.0    91
   93     1732.4625 185.0    92
   94     1770.0541 187.0    93
   95     1808.0468 189.0    94
   96     1846.4406 191.0    95
   97     1885.2353 193.0    96
   98     1924.4309 195.0    97
   99     1964.0273 197.0    98
!NUMBER OF RADIATIVE TRANSITIONS
98
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1    3.5694e-09      12.1629790      0.58
    2     3     2    3.4272e-08      24.3259270      1.75
    3     4     3    1.2391e-07      36.4888130      3.50
    4     5     4    3.0462e-07      48.6516043      5.84
    5     6     5    6.0845e-07      60.8142700      8.76
    6     7     6    1.0676e-06      72.9767794     12.26
    7     8     7    1.7139e-06      85.1391210     16.34
