NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRYFACTOR
H,1,650,0,0,0,0,0,0,0.0,0,0,0,0
#H,1,650,0,0,0,0,0,0,51.63,0,0,0,0
H+,1,0,0,0,0,0,0,0,0,0,0,0,0
H2,2,440,0,0,0,0,0,0,0,0,0,0,0
#H2,2,440,0,0,0,0,0,0,0,0,0.28,0.28,2
H2+,2,0,0,0,0,0,0,0,0,0,0,0,0
H3+,3,0,0,0,0,0,0,0,0,0,0,0,0
HE,4,0,0,0,0,0,0,0,0,0,0,0,0
#HE,4,100,0,0,0,0,0,0,0,0,0,0,0
HE+,4,0,0,0,0,0,0,0,0,0,0,0,0
HEH+,5,0,0,0,0,0,0,0,0,0,0,0,0
C,12,0,0,0,0,0,0,0,0,0,0,0,0
#C,12,10000,0,0,0,0,0,0,170,0,0,0,0
C+,12,0,0,0,0,0,0,0,0,0,0,0,0
CH,13,0,0,0,0,0,0,0,0,0,0,0,0
CH+,13,0,0,0,0,0,0,0,0,0,0,0,0
#CH,13,925,0,0,0,0.35,0.7,0.667,142,0,1.29,1.29,1
CH2,14,0,0,0,0,0,0,0,0,0,0,0,0
CH2+,14,0,0,0,0,0,0,0,0,0,0,0,0
#CH2,14,1400,0,0,0,0,0.7,0.667,93.2,0.37,2.02,2.39,2
N,14,0,0,0,0,0,0,0,0,0,0,0,0
N+,14,0,0,0,0,0,0,0,0,0,0,0,0
#N,14,720,0,0,0,0,0,0,112.5,0,0,0,0
CH3,15,0,0,0,0,0,0,0,0,0,0,0,0
CH3+,15,0,0,0,0,0,0,0,0,0,0,0,0
#CH3,15,1600,0,0,0,0,0.7,0.667,35.8,1.81,1.81,3.62,6
NH,15,0,0,0,0,0,0,0,0,0,0,0,0
NH+,15,0,0,0,0,0,0,0,0,0,0,0,0
#NH,15,2600,0,0,0,0,0.7,0.667,85.7,0,1.10,1.10,1
#CH4,16,960,0,0,0,0,0.7,0.667,-15.9,3.19,3.19,3.19,12
CH4,16,0,0,0,0,0,0,0,0,0,0,0,0
CH4+,16,0,0,0,0,0,0,0,0,0,0,0,0
NH2,16,0,0,0,0,0,0,0,0,0,0,0,0
NH2+,16,0,0,0,0,0,0,0,0,0,0,0,0
#NH2,16,3200,0,0,0,0,0,0,45.2,0.73,1.29,2.02,2
O,16,0,0,0,0,0,0,0,0,0,0,0,0
#O,16,1600,0,0,0,0,0,0,59,0,0,0,0
O+,16,0,0,0,0,0,0,0,0,0,0,0,0
#NH3,17,5500,0,0,0,0,0,0,-9.3,1.82,1.82,2.63,3
CH5+,17,0,0,0,0,0,0,0,0,0,0,0,0
NH3,17,0,0,0,0,0,0,0,0,0,0,0,0
NH3+,17,0,0,0,0,0,0,0,0,0,0,0,0
OH,17,0,0,0,0,0,0,0,0,0,0,0,0
OH+,17,0,0,0,0,0,0,0,0,0,0,0,0
#OH,17,4600,0,0,0,0,0.7,0.667,8.9,0,1.0,1.0,1 ! CCSD(T) with SDD basis set
#H2O,18,5600,0,0,0,0,0,0,-57.1,0.71,1.14,1.85,2
H2O,18,0,0,0,0,0,0,0,0,0,0,0,0
H2O+,18,0,0,0,0,0,0,0,0,0,0,0,0
NH4+,18,0,0,0,0,0,0,0,0,0,0,0,0
H3O+,19,0,0,0,0,0,0,0,0,0,0,0,0
C2,24,0,0,0,0,0,0,0,0,0,0,0,0
C2+,24,0,0,0,0,0,0,0,0,0,0,0,0
MG,24,0,0,0,0,0,0,0,0,0,0,0,0
MG+,24,0,0,0,0,0,0,0,0,0,0,0,0
#C2,24,10000,0,0,0,0,0,0,196.6,0,9.69,9.69,2
#MG,24,5300,0,0,0,0,0,0,34.9,0,0,0,0
C2H,25,0,0,0,0,0,0,0,0,0,0,0,0
C2H+,25,0,0,0,0,0,0,0,0,0,0,0,0
#C2H,25,3000,0,0,0,0,0,0,135.0,0,11.98,11.98,1
#C2H2,26,2587,0,0,0,0,0.1,0.5,54.5,0,14.84,14.84,2
C2H2,26,0,0,0,0,0,0,0,0,0,0,0,0
C2H2+,26,0,0,0,0,0,0,0,0,0,0,0,0
CN,26,0,0,0,0,0,0,0,0,0,0,0,0
CN+,26,0,0,0,0,0,0,0,0,0,0,0,0
#CN,26,2800,0,0,0,0,0,0,437.0,0,9.16,9.16,1
#HCN,27,3700,0,0,0,0,0.1,0.5,31.6,0,11.88,11.88,1
#HNC,27,3800,0,0,0,0,0.1,0.5,46.4,0,11.51,11.51,1
C2H3,27,0,0,0,0,0,0,0,0,0,0,0,0
HCN,27,0,0,0,0,0,0,0,0,0,0,0,0
HCN+,27,0,0,0,0,0,0,0,0,0,0,0,0
HNC,27,0,0,0,0,0,0,0,0,0,0,0,0
#C2H3,27,2800,0,0,0,0,0,0,71.2,2.26,15.89,18.24,1 ! Formation from KIDA
#CO,28,1300,0,0,0,0.35,0.7,0.667,-27.2,0,8.84,8.84,1
