NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
H,1,0.0,0.0,0.0,0.0,51.63
H+,1,0.0,0.0,0.0,0.0,0.0
H2,2,0.0,0.0,0.0,0.0,0.0
H2+,2,0.0,0.0,0.0,0.0,0.0
H3+,3,0.0,0.0,0.0,0.0,0.0
HE,4,0.0,0.0,0.0,0.0,0.0
HE+,4,0.0,0.0,0.0,0.0,0.0
HEH+,5,0.0,0.0,0.0,0.0,0.0
C,12,0.0,0.0,0.0,0.0,0.0
C+,12,0.0,0.0,0.0,0.0,0.0
CH,13,0.0,0.0,0.0,0.0,0.0
CH+,13,0.0,0.0,0.0,0.0,0.0
CH2,14,0.0,0.0,0.0,0.0,0.0
CH2+,14,0.0,0.0,0.0,0.0,0.0
N,14,0.0,0.0,0.0,0.0,0.0
N+,14,0.0,0.0,0.0,0.0,0.0
CH3,15,0.0,0.0,0.0,0.0,0.0
CH3+,15,0.0,0.0,0.0,0.0,0.0
NH,15,0.0,0.0,0.0,0.0,0.0
NH+,15,0.0,0.0,0.0,0.0,0.0
CH4,16,0.0,0.0,0.0,0.0,0.0
CH4+,16,0.0,0.0,0.0,0.0,0.0
NH2,16,0.0,0.0,0.0,0.0,0.0
NH2+,16,0.0,0.0,0.0,0.0,0.0
O,16,0.0,0.0,0.0,0.0,0.0
O+,16,0.0,0.0,0.0,0.0,0.0
CH5+,17,0.0,0.0,0.0,0.0,0.0
NH3,17,0.0,0.0,0.0,0.0,0.0
NH3+,17,0.0,0.0,0.0,0.0,0.0
OH,17,0.0,0.0,0.0,0.0,0.0
OH+,17,0.0,0.0,0.0,0.0,0.0
H2O,18,0.0,0.0,0.0,0.0,0.0
H2O+,18,0.0,0.0,0.0,0.0,0.0
NH4+,18,0.0,0.0,0.0,0.0,0.0
H3O+,19,0.0,0.0,0.0,0.0,0.0
C2,24,0.0,0.0,0.0,0.0,0.0
C2+,24,0.0,0.0,0.0,0.0,0.0
MG,24,0.0,0.0,0.0,0.0,0.0
MG+,24,0.0,0.0,0.0,0.0,0.0
C2H,25,0.0,0.0,0.0,0.0,0.0
C2H+,25,0.0,0.0,0.0,0.0,0.0
C2H2,26,0.0,0.0,0.0,0.0,0.0
C2H2+,26,0.0,0.0,0.0,0.0,0.0
CN,26,0.0,0.0,0.0,0.0,0.0
CN+,26,0.0,0.0,0.0,0.0,0.0
C2H3,27,0.0,0.0,0.0,0.0,0.0
HCN,27,0.0,0.0,0.0,0.0,0.0
HCN+,27,0.0,0.0,0.0,0.0,0.0
HNC,27,0.0,0.0,0.0,0.0,0.0
CO,28,0.0,0.0,0.0,0.0,0.0
CO+,28,0.0,0.0,0.0,0.0,0.0
H2CN,28,0.0,0.0,0.0,0.0,0.0
HCNH+,28,0.0,0.0,0.0,0.0,0.0
N2,28,0.0,0.0,0.0,0.0,0.0
N2+,28,0.0,0.0,0.0,0.0,0.0
SI,28,0.0,0.0,0.0,0.0,0.0
SI+,28,0.0,0.0,0.0,0.0,0.0
C2H4,28,0.0,0.0,0.0,0.0,0.0
HCO,29,0.0,0.0,0.0,0.0,0.0
HCO+,29,0.0,0.0,0.0,0.0,0.0
HOC+,29,0.0,0.0,0.0,0.0,0.0
N2H+,29,0.0,0.0,0.0,0.0,0.0
SIH,29,0.0,0.0,0.0,0.0,0.0
SIH+,29,0.0,0.0,0.0,0.0,0.0
C2H5,29,0.0,0.0,0.0,0.0,0.0
H2CO,30,0.0,0.0,0.0,0.0,0.0
H2CO+,30,0.0,0.0,0.0,0.0,0.0
NO,30,0.0,0.0,0.0,0.0,0.0
NO+,30,0.0,0.0,0.0,0.0,0.0
SIH2,30,0.0,0.0,0.0,0.0,0.0
SIH2+,30,0.0,0.0,0.0,0.0,0.0
H2COH,31,0.0,0.0,0.0,0.0,0.0
H2COH+,31,0.0,0.0,0.0,0.0,0.0
HNO,31,0.0,0.0,0.0,0.0,0.0
HNO+,31,0.0,0.0,0.0,0.0,0.0
SIH3,31,0.0,0.0,0.0,0.0,0.0
SIH3+,31,0.0,0.0,0.0,0.0,0.0
CH2OH,31,0.0,0.0,0.0,0.0,0.0
CH3OH,32,0.0,0.0,0.0,0.0,0.0
H2NO+,32,0.0,0.0,0.0,0.0,0.0
O2,32,0.0,0.0,0.0,0.0,0.0
O2+,32,0.0,0.0,0.0,0.0,0.0
S,32,0.0,0.0,0.0,0.0,0.0
S+,32,0.0,0.0,0.0,0.0,0.0
SIH4,32,0.0,0.0,0.0,0.0,0.0
SIH4+,32,0.0,0.0,0.0,0.0,0.0
CH3OH2+,33,0.0,0.0,0.0,0.0,0.0
HS,33,0.0,0.0,0.0,0.0,0.0
HS+,33,0.0,0.0,0.0,0.0,0.0
O2H,33,0.0,0.0,0.0,0.0,0.0
O2H+,33,0.0,0.0,0.0,0.0,0.0
SIH5+,33,0.0,0.0,0.0,0.0,0.0
H2S,34,0.0,0.0,0.0,0.0,0.0
H2S+,34,0.0,0.0,0.0,0.0,0.0
CL,35,0.0,0.0,0.0,0.0,0.0
CL+,35,0.0,0.0,0.0,0.0,0.0
H3S+,35,0.0,0.0,0.0,0.0,0.0
C3+,36,0.0,0.0,0.0,0.0,0.0
HCL,36,0.0,0.0,0.0,0.0,0.0
HCL+,36,0.0,0.0,0.0,0.0,0.0
H2CL+,37,0.0,0.0,0.0,0.0,0.0
C2N,38,0.0,0.0,0.0,0.0,0.0
C2N+,38,0.0,0.0,0.0,0.0,0.0
C3H2,38,0.0,0.0,0.0,0.0,0.0
C2NH+,39,0.0,0.0,0.0,0.0,0.0
CH3CCH,40,0.0,0.0,0.0,0.0,0.0
SIC,40,0.0,0.0,0.0,0.0,0.0
SIC+,40,0.0,0.0,0.0,0.0,0.0
C3H5+,41,0.0,0.0,0.0,0.0,0.0
CH3CN,41,0.0,0.0,0.0,0.0,0.0
CH2CO,42,0.0,0.0,0.0,0.0,0.0
CH3CNH,42,0.0,0.0,0.0,0.0,0.0
CH3CNH+,42,0.0,0.0,0.0,0.0,0.0
OCN,42,0.0,0.0,0.0,0.0,0.0
HNCO,43,0.0,0.0,0.0,0.0,0.0
CO2,44,0.0,0.0,0.0,0.0,0.0
CS,44,0.0,0.0,0.0,0.0,0.0
CS+,44,0.0,0.0,0.0,0.0,0.0
SIO,44,0.0,0.0,0.0,0.0,0.0
SIO+,44,0.0,0.0,0.0,0.0,0.0
CH3CHO,44,0.0,0.0,0.0,0.0,0.0
HCO2+,45,0.0,0.0,0.0,0.0,0.0
HCS,45,0.0,0.0,0.0,0.0,0.0
HCS+,45,0.0,0.0,0.0,0.0,0.0
SIOH+,45,0.0,0.0,0.0,0.0,0.0
NH2CHO,45,0.0,0.0,0.0,0.0,0.0
HCOO,45,0.0,0.0,0.0,0.0,0.0
H2CS,46,0.0,0.0,0.0,0.0,0.0
H2CS+,46,0.0,0.0,0.0,0.0,0.0
H2SIO,46,0.0,0.0,0.0,0.0,0.0
NO2,46,0.0,0.0,0.0,0.0,0.0
NS,46,0.0,0.0,0.0,0.0,0.0
NS+,46,0.0,0.0,0.0,0.0,0.0
HCOOH,46,0.0,0.0,0.0,0.0,0.0
H2CSH+,47,0.0,0.0,0.0,0.0,0.0
HNS+,47,0.0,0.0,0.0,0.0,0.0
SO,48,0.0,0.0,0.0,0.0,0.0
SO+,48,0.0,0.0,0.0,0.0,0.0
