Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Dihydrogen,H2,g,,0.0,0.0,,,2.01588 ±0.00014,1333-74-0*0
Helium,He,g,,0.0,0.0,,,4.0026020 ±0.0000020,7440-59-7*0
Boron,B,"cr,l",,0.0,0.0,,,10.8110 ±0.0070,7440-42-8*500
Carbon,C,graphite,,0.0,0.0,,,12.01070 ±0.00080,7440-44-0*500
Dinitrogen,N2,g,,0.0,0.0,,,28.01348 ±0.00014,7727-37-9*0
Dioxygen,O2,g,,0.0,0.0,,,31.99880 ±0.00060,7782-44-7*0
Difluorine,F2,g,,0.0,0.0,,,37.9968064 ±0.0000010,7782-41-4*0
Neon,Ne,g,,0.0,0.0,,,20.17970 ±0.00060,7440-01-9*0
Silicon,Si,"cr,l",,0.0,0.0,,,28.08550 ±0.00030,7440-21-3*500
Sulfur,S,"cr,l",,0.0,0.0,,,32.0660 ±0.0060,7704-34-9*500
Dichlorine,Cl2,g,,0.0,0.0,,,70.9054 ±0.0018,7782-50-5*0
Argon,Ar,g,,0.0,0.0,,,39.94800 ±0.00100,7440-37-1*0
Dibromine,Br2,"cr,l",,0.0,0.0,,,159.8080 ±0.0020,7726-95-6*500
Krypton,Kr,g,,0.0,0.0,,,83.8000 ±0.1000,7439-90-9*0
Diiodine,I2,"cr,l",,0.0,0.0,,,253.808940 ±0.000060,7553-56-2*500
Xenon,Xe,g,,0.0,0.0,,,131.2900 ±0.0200,7440-63-3*0
Platinum,Pt,"cr,l",,0.0,0.0,,,195.0780 ±0.0020,7440-06-4*500
Radon,Rn,g,,0.0,0.0,,,222.0000 ±0.1000,10043-92-2*0
Deuterium molecule,D2,g,,0.0,0.0,,,4.02820355600 ±0.00000000080,7782-39-0*0
Hydrogen atom,H,g,,216.034,217.998,0.0,kJ/mol,1.007940 ±0.000070,12385-13-6*0
Carbon,C,g,,711.384,716.869,0.039,kJ/mol,12.01070 ±0.00080,7440-44-0*0
Oxygen atom,O,g,,246.844,249.229,0.0021,kJ/mol,15.99940 ±0.00030,17778-80-2*0
Methane,CH4,g,,-66.543,-74.513,0.043,kJ/mol,16.04246 ±0.00085,74-82-8*0
Water,H2O,"cr,l",,-286.274,-285.802,0.022,kJ/mol,18.01528 ±0.00033,7732-18-5*500
Nitrogen atom,N,g,,470.612,472.475,0.03,kJ/mol,14.006740 ±0.000070,17778-88-0*0
Carbon dioxide,CO2,g,,-393.111,-393.477,0.015,kJ/mol,44.00950 ±0.00100,124-38-9*0
Hydron,H+,g,,1528.084,1530.047,0.0,kJ/mol,1.007391 ±0.000070,12408-02-5*0
Water,H2O,g,,-238.904,-241.808,0.022,kJ/mol,18.01528 ±0.00033,7732-18-5*0
Ethane,CH3CH3,g,,-68.4,-84.02,0.12,kJ/mol,30.0690 ±0.0017,74-84-0*0
Chlorine atom,Cl,g,,119.621,121.302,0.0011,kJ/mol,35.45270 ±0.00090,22537-15-1*0
Fluorine atom,F,g,,77.258,79.364,0.016,kJ/mol,18.99840320 ±0.00000050,14762-94-8*0
Ethylene,CH2CH2,g,,60.9,52.39,0.11,kJ/mol,28.0532 ±0.0016,74-85-1*0
Propane,CH3CH2CH3,g,,-82.72,-105.0,0.15,kJ/mol,44.0956 ±0.0025,74-98-6*0
Methyl,CH3,g,,149.879,146.479,0.049,kJ/mol,15.03452 ±0.00083,2229-07-4*0
Methanol,CH3OH,g,,-189.96,-200.85,0.14,kJ/mol,32.04186 ±0.00090,67-56-1*0
Ammonia,NH3,g,,-38.562,-45.554,0.029,kJ/mol,17.03056 ±0.00022,7664-41-7*0
Bromine atom,Br,g,,117.925,111.863,0.055,kJ/mol,79.90400 ±0.00100,10097-32-2*0
Hydroxyl,OH,g,,37.276,37.516,0.022,kJ/mol,17.00734 ±0.00031,3352-57-6*0
Formaldehyde,CH2O,g,,-105.382,-109.223,0.094,kJ/mol,30.02598 ±0.00087,50-00-0*0
Carbon monoxide,CO,g,,-113.799,-110.519,0.025,kJ/mol,28.01010 ±0.00085,630-08-0*0
Acetylene,HCCH,g,,228.88,228.32,0.12,kJ/mol,26.0373 ±0.0016,74-86-2*0
Ethanol,CH3CH2OH,g,,-217.18,-234.9,0.2,kJ/mol,46.0684 ±0.0017,64-17-5*0
Hydrogen chloride,HCl,g,,-91.988,-92.172,0.0062,kJ/mol,36.46064 ±0.00090,7647-01-0*0
Benzene,C6H6,g,,100.69,83.18,0.21,kJ/mol,78.1118 ±0.0048,71-43-2*0
Iodine,I,g,,107.157,106.757,0.0021,kJ/mol,126.904470 ±0.000030,14362-44-8*0
Propene,CH3CHCH2,g,,34.9,20.06,0.18,kJ/mol,42.0797 ±0.0024,115-07-1*0
