!
! DEFAULT NETWORK FOR UCLCHEM. BASED ON QUENARD ET AL. 2018 WITH LARGE COMS REMOVED
! DOES A GOOD JOB OF RECREATING MAJOR ICE ABUNDANCES BUT BEYOND THIS WE DO NOT VOUCH FOR IT
! ALL UCLCHEM USERS MUST UNDERSTAND THEIR OWN NETWORKS AND DECIDE WHICH RATES TO USE.
!
! H FORMATION IS TREATED SPECIALLY, DO NOT REMOVE THIS SECTION
! H2FORM IS THE CAZAUX & TIELENS 2004 TREATMENT OF H2 FORMATION
! THE OTHERS TREAT H2 FORMATION AS THEY WOULD ANY REACTION.
! SELECT WHICH WITH FLAG PARAMETERIZE_H2_FORM
!
H,H,H2FORM,H2,,,,1,0,0,,,
H,#H,ER,#H2,,,,1,0,0,,,
#H,#H,LH,#H2,,,,1,0,0,,,
H2,PHOTON,,H,H,,,1,1,0,,,
!
!
!
! H ABSTRACTION REACTIONS. RATES FROM GARROD 2008
!
#CH4,CRP,,#CH2,#H2,,,3.04E-14,0,0,,
#CH3,CRP,,#CH2,#H,,,3E-16,0,0,,
#NH3,CRP,,#NH,#H2,,,7.02E-15,0,0,,
#NH3,CRP,,#NH2,#H,,,1.716E-14,0,0,,
#H2O,CRP,,#OH,#H,,,1.26E-14,0,0,,
#HCO,CRP,,#CO,#H,,,5.473E-15,0,0,,
#H2CO,CRP,,#HCO,#H,,,1.73E-14,0,0,,
#H2CO,CRP,,#CO,H2,,,1.73E-14,0,0,,
#CH3OH,CRP,,#CH2OH,#H,,,6.5E-15,0,0,,
#CH3OH,CRP,,#H3CO,#H,,,6.5E-15,0,0,,
#CH3OH,CRP,,#CH3,#OH,,,1.95E-14,0,0,,
#H2S,CRP,,#HS,H,,,3E-16,0,0,,
#HCOOH,CRP,,#HCOO,H,,,3E-16,0,0,,
#HNO,CRP,,#NO,#H,,,3E-16,0,0,,
#HCS,CRP,,#CS,#H,,,3E-16,0,0,,
!
! MORE CRP REACTIONS WITH GRAIN
#HNCO,CRPHOT,,#NH,#CO,,,1.3E-17,0,1500,,,
#HOCN,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#HCNO,CRPHOT,,#CH,#NO,,,1.3E-17,0,1500,,,
#HONC,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#CNO,CRPHOT,,#CN,#O,,,1.3E-17,0,750,,,
#HNCO,PHOTON,,#NH,#CO,,,1.00E-09,0.00,1.7,,,
#HOCN,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#HCNO,PHOTON,,#CH,#NO,,,1.00E-09,0.00,1.7,,,
#HONC,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#CNO,PHOTON,,#CN,#O,,,1.00E-11,0.00,2.0,,,
!
!
! BASIC GRAIN NETWORK
! HYDROGENATION
! CONSTANTS ARE BRANCHING RATIO, 0 (NO BETA REQUIRED), ENERGY BARRIER
! LH ARE LANGMUIR-HINSHELWOOD REACTIONS, ER ARE ELEY RIDEAL
! BOTH REACTION TYPES BE LISTED WITH ALL PRODUCTS ON THE GRAIN HERE
! CHEMICAL DESORPTION WILL BE DEALT WITH BY MAKERATES AND UCLCHEM
!
#H,#C,LH,#CH,,,,1,0,0,,,
#H,#CH,LH,#CH2,,,,1,0,0,,,
#H,#CH2,LH,#CH3,,,,1,0,0,,,
#H,#CH3,LH,#CH4,,,,1,0,0,,,
#H,#O,LH,#OH,,,,1,0,0,,,
#H,#OH,LH,#H2O,,,,1,0,0,,,
