H,1,NA,0,0,0
H+,1,NA,0,0,0
H2,2,NA,0,0,0
H2+,2,NA,0,0,0
H3+,3,NA,0,0,0
HE,4,NA,0,0,0
HE+,4,NA,0,0,0
HEH+,5,NA,0,0,0
C,12,NA,0,0,0
C+,12,NA,0,0,0
CH,13,NA,0,0,0
CH+,13,NA,0,0,0
CH2,14,NA,0,0,0
CH2+,14,NA,0,0,0
N,14,NA,0,0,0
N+,14,NA,0,0,0
#CH3,15,CO2,1175,0.7,0.667
#NH,15,CO2,2378,0.7,0.667
CH3,15,NA,0,0,0
CH3+,15,NA,0,0,0
NH,15,NA,0,0,0
NH+,15,NA,0,0,0
#CH4,16,CO2,1300,0.7,0.667
#NH2,16,H2O,3956,0,0
CH4,16,NA,0,0,0
CH4+,16,NA,0,0,0
NH2,16,NA,0,0,0
NH2+,16,NA,0,0,0
O,16,NA,0,0,0
O+,16,NA,0,0,0
#O,16,REF,800,0,0
#OH,17,CO1,2850,0.7,0.667
#NH3,17,H2O,5534,0,0
CH5+,17,NA,0,0,0
NH3,17,NA,0,0,0
NH3+,17,NA,0,0,0
OH,17,NA,0,0,0
OH+,17,NA,0,0,0
#H2O,18,H2O,5700,0,0
H2O,18,NA,0,0,0
H2O+,18,NA,0,0,0
NH4+,18,NA,0,0,0
H3O+,19,NA,0,0,0
F,19,NA,0,0,0
F+,19,NA,1,0,0
HF,20,NA,0,0,0
HF+,20,NA,1,0,0
#H2F,21,REAC,2500,0,0
H2F+,21,NA,1,0,0
H2F,21,NA,0,0,0
C2,24,NA,0,0,0
C2+,24,NA,0,0,0
MG,24,NA,0,0,0
MG+,24,NA,0,0,0
#C2,24,REAC,1600,0,0
#MG,24,REF,5300,0,0
C2H,25,NA,0,0,0
C2H+,25,NA,0,0,0
#C2H,25,REAC,2137,0,0
#C2H2,26,INT,2587,0.1,0.5
C2H2,26,NA,0,0,0
C2H2+,26,NA,0,0,0
CN,26,NA,0,0,0
CN+,26,NA,0,0,0
#HCN,27,INT,2050,0.1,0.5
#HNC,27,INT,2050,0.1,0.5
C2H3,27,NA,0,0,0
HCN,27,NA,0,0,0
HCN+,27,NA,0,0,0
HNC,27,NA,0,0,0
#C2H3,27,REAC,3037,0,0
#CO,28,CO1,1150,0.7,0.667
#N2,28,CO1,1000,0.7,0.667
#C2H4,28,INT,3487,0,0.5
C2H4,28,NA,0,0,0
CO,28,NA,0,0,0
CO+,28,NA,0,0,0
H2CN,28,NA,0,0,0
HCNH+,28,NA,0,0,0
N2,28,NA,0,0,0
N2+,28,NA,0,0,0
SI,28,NA,0,0,0
SI+,28,NA,0,0,0
#H2CN,28,REAC,2400,0,0
#SI,28,REF,2700,0,0
#HCO,29,INT,1600,0.1,0.5
C2H5,29,NA,0,0,0
HCO,29,NA,0,0,0
HCO+,29,NA,0,0,0
HOC+,29,NA,0,0,0
N2H+,29,NA,0,0,0
SIH,29,NA,0,0,0
SIH+,29,NA,0,0,0
#C2H5,29,REAC,3937,0,0
#NO,30,CO2,1600,0.7,0.667
#H2CO,30,H2O,2050,0,0
H2CO,30,NA,0,0,0
H2CO+,30,NA,0,0,0
NO,30,NA,0,0,0
NO+,30,NA,0,0,0
SIH2,30,NA,0,0,0
SIH2+,30,NA,0,0,0
#CF,31,REAC,2500,0,0
CH2OH,31,NA,0,0,0
H3CO,31,NA,0,0,0
H3CO+,31,NA,0,0,0
HNO,31,NA,0,0,0
HNO+,31,NA,0,0,0
SIH3,31,NA,0,0,0
SIH3+,31,NA,0,0,0
CF,31,NA,0,0,0
CF+,31,NA,1,0,0
#CH2OH,31,H2O,5084,0,0
#H3CO,31,INT,2500,0.1,0.5
#HNO,31,REAC,2050,0,0
#O2,32,CO1,1200,0.7,0.667
#CH3OH,32,H2O,5534,0,0
#SIH4,32,H2O,4500,0,0
CH3OH,32,NA,0,0,0
H2NO+,32,NA,0,0,0
O2,32,NA,0,0,0
O2+,32,NA,0,0,0
S,32,NA,0,0,0
S+,32,NA,0,0,0
SIH4,32,NA,0,0,0
SIH4+,32,NA,0,0,0
#S,32,REF,1100,0,0
#HS,33,INT,1450,0.1,0.5
