!
! DEFAULT NETWORK FOR UCLCHEM. BASED ON QUENARD ET AL. 2018 WITH LARGE COMS REMOVED
! DOES A GOOD JOB OF RECREATING MAJOR ICE ABUNDANCES BUT BEYOND THIS WE DO NOT VOUCH FOR IT
! ALL UCLCHEM USERS MUST UNDERSTAND THEIR OWN NETWORKS AND DECIDE WHICH RATES TO USE.
!
! H FORMATION IS TREATED SPECIALLY, DO NOT REMOVE THIS SECTION
! H2FORM IS THE CAZAUX & TIELENS 2004 TREATMENT OF H2 FORMATION
! THE OTHERS TREAT H2 FORMATION AS THEY WOULD ANY REACTION.
! SELECT WHICH WITH FLAG PARAMETERIZE_H2_FORM
!
!
!
!
! H ABSTRACTION REACTIONS. RATES FROM GARROD 2008
!
#HCS,CRP,,#CS,#H,,,3E-16,0,0,,
!
! MORE CRP REACTIONS WITH GRAIN
#HOCN,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#HCNO,CRPHOT,,#CH,#NO,,,1.3E-17,0,1500,,,
#HONC,CRPHOT,,#OH,#CN,,,1.3E-17,0,1500,,,
#CNO,CRPHOT,,#CN,#O,,,1.3E-17,0,750,,,
#HOCN,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#HCNO,PHOTON,,#CH,#NO,,,1.00E-09,0.00,1.7,,,
#HONC,PHOTON,,#OH,#CN,,,1.00E-09,0.00,1.7,,,
#CNO,PHOTON,,#CN,#O,,,1.00E-11,0.00,2.0,,,
!
!
! BASIC GRAIN NETWORK
! HYDROGENATION
! CONSTANTS ARE BRANCHING RATIO, 0 (NO BETA REQUIRED), ENERGY BARRIER
! LH ARE LANGMUIR-HINSHELWOOD REACTIONS, ER ARE ELEY RIDEAL
! BOTH REACTION TYPES BE LISTED WITH ALL PRODUCTS ON THE GRAIN HERE
! CHEMICAL DESORPTION WILL BE DEALT WITH BY MAKERATES AND UCLCHEM
!
!
! MINISSALE 2016 REACTIONS
!
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!%%%%%%%% HNCO NETWORK %%%%%%%%%
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! FROM QUAN+ 2010
!
#H,#OCN,LH,#HOCN,,,,0.5,0,0,,,
#C,#HOCN,LH,#CO,#HCN,,,1,0,0,,,
#H,#CNO,LH,#HCNO,,,,0.5,0,0,,,
#C,#HCNO,LH,#C2H,#NO,,,1,0,0,,,
#H,#CNO,LH,#HONC,,,,0.5,0,0,,,
#O,#HONC,LH,#O2H,#CN,,,1,0,0,,,
#C,#OCN,LH,#CN,#CO,,,1,0,0,,,
#C,#CNO,LH,#CN,#CO,,,1,0,0,,,
#C,#NO,LH,#CNO,,,,1,0,0,,,
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
! FROM FEDOSEEV+ 2015, BELLOCHE+2017
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
HOCN,H,,HNCO,H,,,1.0E-10,0,2000,,,
HONC,H,,HCNO,H,,,1.0E-10,0,2000,,,
!
!
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!% KIDA NETWORK
!%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
!
! HYDROGENATION OF HNCO (SONG ET AL. 2016)
!
#H,#HOCN,LH,#H2O,#CN,,,0.5,0,2300,,,              ! E_A FROM GARROD
#H,#HOCN,LH,#H2OCN,,,,0.5,0,1962,,,
#H,#HCNO,LH,#CH2,#NO,,,0.5,0,2300,,,       		! E_A FROM GARROD
#H,#HCNO,LH,#H2CNO,,,,0.5,0,1962,,,
#H,#HNCO,LH,#H2NCO,,,,0.5,0,1962,,,
#H,#H2NCO,LH,#NH2CHO,,,,0.0,0,0,,,
!
! RADICAL REACTION (FEDOSEEV ET AL. 2016)                                   
!
H,#H2NCO,LH,#HNCO,H2,,,1.0,0,0,,,! NOBLE ET AL. 2015
!
! (GARROD 2006)
!
#HCO,#H3CO,LH,#HCOOCH3,,,,1.0,0,0,,,
#HCO,#CH2OH,LH,#HCOOCH3,,,,1.0,0,0,,,
#CH3,#H3CO,LH,#CH3OCH3,,,,1.0,0,0,,,
#CH3,#C2H3,LH,#CH3CHCH2,,,,1.0,0,0,,,
!
! FREEZE OUTS
!
C2H5OH,FREEZE,,#C2H5OH,,,,1,0,0,,,
C2H5OH2+,FREEZE,,#C2H5OH,H,,,1,1,0,,,
HNCO+,FREEZE,,#HNCO,,,,1,1,0,,,
COOCH4+,FREEZE,,#HCOOCH3,,,,1,1,0,,,
!
! INSTANT HYDROGENATION
!
HC3N,FREEZE,,#C2H5CN,,,,1,0,0,,,
C2H5CN,FREEZE,,#C2H5CN,,,,1,0,0,,,
