2392
H,CH,NAN,C,H2,NAN,NAN,1.31E-10,0,80,300,2000
H,CH2,NAN,CH,H2,NAN,NAN,6.64E-11,0,0,300,2500
H,NH,NAN,N,H2,NAN,NAN,1.73E-11,0.5,2400,80,300
H,CH3,NAN,CH2,H2,NAN,NAN,1.00E-10,0,7600,300,2500
H,NH2,NAN,NH,H2,NAN,NAN,5.25E-12,0.79,2200,73,300
H,CH4,NAN,CH3,H2,NAN,NAN,5.94E-13,3,4045,300,2500
H,OH,NAN,O,H2,NAN,NAN,6.99E-14,2.8,1950,300,2500
H,NH3,NAN,NH2,H2,NAN,NAN,7.80E-13,2.4,4990,200,2500
H,H2O,NAN,OH,H2,NAN,NAN,1.59E-11,1.2,9610,250,3000
H,C2,NAN,CH,C,NAN,NAN,4.67E-10,0.5,30450,1015,41000
H,C2H2,NAN,C2H,H2,NAN,NAN,3.80E-10,0,13634,295,6920
H,HCN,NAN,CN,H2,NAN,NAN,6.20E-10,0,12500,300,2500
H,C2H3,NAN,C2H2,H2,NAN,NAN,3.32E-11,0,0,300,2500
H,CO,NAN,OH,C,NAN,NAN,1.10E-10,0.5,77700,2590,41000
H,H2CN,NAN,HCN,H2,NAN,NAN,1.00E-10,0,0,10,300
H,HCO,NAN,O,CH2,NAN,NAN,6.61E-11,0,51598,1200,1812
H,HCO,NAN,CO,H2,NAN,NAN,2.00E-10,0,0,300,2500
H,NO,NAN,O,NH,NAN,NAN,9.29E-10,-0.1,35220,300,3000
H,NO,NAN,OH,N,NAN,NAN,3.60E-10,0,24910,1500,4524
H,H2CO,NAN,HCO,H2,NAN,NAN,4.85E-12,1.9,1379,250,5000
H,HNO,NAN,OH,NH,NAN,NAN,2.40E-09,-0.5,9010,350,3000
H,HNO,NAN,NH2,O,NAN,NAN,1.05E-09,-0.3,14730,550,3000
H,HNO,NAN,NO,H2,NAN,NAN,4.50E-11,0.72,329,200,3000
H,O2,NAN,OH,O,NAN,NAN,2.61E-10,0,8156,250,4000
H,O2H,NAN,OH,OH,NAN,NAN,1.66E-10,0,413,230,2500
H,O2H,NAN,H2O,O,NAN,NAN,5.00E-11,0,866,245,2500
H,O2H,NAN,O2,H2,NAN,NAN,2.06E-11,0.84,277,230,2500
H,HS,NAN,S,H2,NAN,NAN,2.50E-11,0,0,300,2500
H,H2S,NAN,HS,H2,NAN,NAN,3.71E-12,1.94,455,190,2560
H,OCN,NAN,HCN,O,NAN,NAN,1.87E-11,0.9,2924,500,2500
H,OCN,NAN,NH,CO,NAN,NAN,1.26E-10,0,515,295,1490
H,CH2CO,NAN,CH3,CO,NAN,NAN,5.68E-11,0,1897,200,2000
H,CO2,NAN,CO,OH,NAN,NAN,3.38E-10,0,13163,300,15223
H,NO2,NAN,NO,OH,NAN,NAN,1.40E-10,0,740,24,300
H,NS,NAN,HS,N,NAN,NAN,7.27E-11,0.5,15700,523,41000
H,NS,NAN,S,NH,NAN,NAN,7.27E-11,0.5,20735,691,41000
H,SO,NAN,S,OH,NAN,NAN,5.90E-10,-0.31,11100,370,41000
H,SO,NAN,HS,O,NAN,NAN,1.73E-11,0.5,19930,664,41000
H,OCS,NAN,HS,CO,NAN,NAN,1.23E-11,0,1949,261,525
H,S2,NAN,HS,S,NAN,NAN,2.25E-10,0.5,8355,278,300
H2,C,NAN,CH,H,NAN,NAN,6.64E-10,0,11700,300,2500
H2,CH,NAN,CH2,H,NAN,NAN,5.46E-10,0,1943,300,2500
H2,N,NAN,NH,H,NAN,NAN,1.69E-09,0,18095,1600,2850
H2,CH2,NAN,CH3,H,NAN,NAN,5.18E-11,0.17,6400,300,2500
H2,NH,NAN,NH2,H,NAN,NAN,5.96E-11,0,7782,2601,2788
H2,CH3,NAN,CH4,H,NAN,NAN,6.86E-14,2.74,4740,300,2500
H2,O,NAN,OH,H,NAN,NAN,3.14E-13,2.7,3150,297,3532
H2,NH2,NAN,NH3,H,NAN,NAN,2.05E-15,3.89,1400,200,2500
H2,OH,NAN,H2O,H,NAN,NAN,2.05E-12,1.52,1736,250,2581
H2,CN,NAN,HCN,H,NAN,NAN,4.04E-13,2.87,820,200,3500
H2,O2,NAN,OH,OH,NAN,NAN,3.16E-10,0,21890,300,2500
H2,O2,NAN,O2H,H,NAN,NAN,2.40E-10,0,28500,300,2500
H2,S,NAN,HS,H,NAN,NAN,1.76E-13,2.88,6126,910,3137
H2,HS,NAN,H2S,H,NAN,NAN,6.52E-12,0.09,8050,268,300
C,CH,NAN,C2,H,NAN,NAN,6.59E-11,0,0,10,300
C,CH2,NAN,CH,CH,NAN,NAN,2.69E-12,0,23550,1000,4000
C,CH2,NAN,C2H,H,NAN,NAN,1.00E-10,0,0,10,300
C,NH,NAN,N,CH,NAN,NAN,1.73E-11,0.5,4000,133,300
C,NH,NAN,CN,H,NAN,NAN,1.20E-10,0,0,10,300
C,CH3,NAN,C2H2,H,NAN,NAN,1.00E-10,0,0,10,300
C,NH2,NAN,HCN,H,NAN,NAN,3.26E-11,-0.1,-9,10,300
C,NH2,NAN,HNC,H,NAN,NAN,3.26E-11,-0.1,-9,10,300
C,NH2,NAN,NH,CH,NAN,NAN,9.62E-13,0,10517,1000,4000
C,OH,NAN,O,CH,NAN,NAN,2.25E-11,0.5,14800,493,41000
C,OH,NAN,CO,H,NAN,NAN,1.00E-10,0,0,10,300
C,CN,NAN,C2,N,NAN,NAN,4.98E-10,0,18116,603,41000
C,C2H3,NAN,C3H2,H,NAN,NAN,1.00E-10,0,0,10,300
C,CO,NAN,C2,O,NAN,NAN,2.94E-11,0.5,58025,1934,41000
C,N2,NAN,CN,N,NAN,NAN,8.69E-11,0,22600,2000,5000
C,H2CN,NAN,C2N,H2,NAN,NAN,2.00E-10,0,0,10,300
C,HCO,NAN,CO,CH,NAN,NAN,1.00E-10,0,0,10,300
C,SIH,NAN,SIC,H,NAN,NAN,6.59E-11,0,0,10,300
C,C2H5,NAN,CH3CCH,H,NAN,NAN,2.00E-10,0,0,10,300
C,NO,NAN,CN,O,NAN,NAN,6.00E-11,-0.16,0,10,41000
C,NO,NAN,CO,N,NAN,NAN,9.00E-11,0,0,300,41000
C,O2,NAN,CO,O,NAN,NAN,4.70E-11,-0.34,0,10,300
C,HS,NAN,S,CH,NAN,NAN,1.20E-11,0.58,5880,196,300
C,HS,NAN,CS,H,NAN,NAN,1.00E-10,0,0,10,300
C,C3H2,NAN,C4H,H,NAN,NAN,1.00E-10,0,0,10,300
C,C2N,NAN,C2,CN,NAN,NAN,1.00E-10,0,0,10,300
C,OCN,NAN,CO,CN,NAN,NAN,1.00E-10,0,0,10,300
C,CS,NAN,S,C2,NAN,NAN,1.44E-11,0.5,20435,681,41000
C,NS,NAN,S,CN,NAN,NAN,1.50E-10,-0.16,0,10,300
C,NS,NAN,CS,N,NAN,NAN,1.73E-11,0.5,4000,133,300
C,SO,NAN,S,CO,NAN,NAN,3.50E-11,0,0,10,300
C,SO,NAN,CS,O,NAN,NAN,3.50E-11,0,0,10,300
C,SO2,NAN,CO,SO,NAN,NAN,7.00E-11,0,0,10,300
C,S2,NAN,CS,S,NAN,NAN,7.00E-11,0,0,10,300
CH,N,NAN,NH,C,NAN,NAN,3.03E-11,0.65,1207,990,1100
CH,N,NAN,CN,H,NAN,NAN,1.66E-10,-0.09,0,222,584
CH,O,NAN,OH,C,NAN,NAN,2.52E-11,0,2381,10,6000
CH,O,NAN,CO,H,NAN,NAN,6.60E-11,0,0,10,2000
CH,CH4,NAN,CH3,CH2,NAN,NAN,2.28E-11,0.7,3000,100,300
CH,CH4,NAN,C2H4,H,NAN,NAN,1.05E-10,-1.04,36,23,300
CH,OH,NAN,HCO,H,NAN,NAN,1.44E-11,0.5,5000,166,300
CH,C2H2,NAN,C3H2,H,NAN,NAN,3.39E-10,0,0,23,710
CH,N2,NAN,HCN,N,NAN,NAN,5.60E-13,0.88,10128,1000,4000
CH,HCO,NAN,CO,CH2,NAN,NAN,2.87E-12,0.7,500,16,300
CH,NO,NAN,CO,NH,NAN,NAN,1.99E-10,0,0,298,298
CH,NO,NAN,HCN,O,NAN,NAN,1.20E-10,-0.13,0,13,3790
CH,NO,NAN,CN,OH,NAN,NAN,1.40E-10,0,0,298,298
CH,NO,NAN,HCO,N,NAN,NAN,1.16E-11,-0.13,0,13,708
CH,NO,NAN,OCN,H,NAN,NAN,4.10E-11,0,0,298,298
CH,H2CO,NAN,HCO,CH2,NAN,NAN,9.21E-12,0.7,2000,66,300
CH,HNO,NAN,NO,CH2,NAN,NAN,1.73E-11,0,0,10,300
CH,O2,NAN,CO,OH,NAN,NAN,2.60E-11,0,0,298,298
CH,O2,NAN,HCO,O,NAN,NAN,1.44E-11,0.7,3000,100,2365
CH,S,NAN,HS,C,NAN,NAN,1.73E-11,0.5,4000,133,300
CH,S,NAN,CS,H,NAN,NAN,5.00E-11,0,0,10,300
CH,CH3OH,NAN,CH3,H2CO,NAN,NAN,2.49E-10,-1.93,0,298,753
CH,O2H,NAN,O2,CH2,NAN,NAN,2.94E-13,0.5,7550,251,300
CH,O2H,NAN,HCO,OH,NAN,NAN,1.44E-11,0.5,3000,100,300
CH,CO2,NAN,HCO,CO,NAN,NAN,2.94E-13,0.5,3000,100,300
N,CH2,NAN,HCN,H,NAN,NAN,3.95E-11,0.17,0,10,300
N,CH2,NAN,HNC,H,NAN,NAN,3.95E-11,0.17,0,10,300
N,CH2,NAN,NH,CH,NAN,NAN,9.96E-13,0,20380,1000,4000
N,NH,NAN,N2,H,NAN,NAN,4.98E-11,0,0,10,1400
N,CH3,NAN,HCN,H,H,NAN,3.32E-13,0,0,253,352
N,CH3,NAN,HCN,H2,NAN,NAN,1.30E-11,0.5,0,10,300
N,CH3,NAN,H2CN,H,NAN,NAN,7.40E-11,0.26,8.4,10,2000
N,OH,NAN,O,NH,NAN,NAN,1.88E-11,0.1,10700,300,2500
N,OH,NAN,NO,H,NAN,NAN,7.50E-11,-0.18,0,10,100
