Time,Density,gasTemp,av,OCS    ,CO     ,CS     ,CH3OH  
  1.000E-07, 1.0010E+02,   10.00, 2.0097E+00,    1.00000E-30,    5.40198E-30,    1.00000E-30,    1.00000E-30
  1.000E-06, 1.0010E+02,   10.00, 2.0097E+00,    1.04045E-30,    9.74504E-28,    1.04047E-30,    1.21035E-30
  1.000E-05, 1.0010E+02,   10.00, 2.0097E+00,    1.08133E-30,    9.57201E-26,    1.09680E-30,    1.49577E-30
  1.000E-04, 1.0010E+02,   10.00, 2.0097E+00,    1.12231E-30,    9.58655E-24,    1.69753E-29,    1.85178E-30
  1.000E-03, 1.0010E+02,   10.00, 2.0097E+00,    1.16384E-30,    1.00330E-21,    1.58960E-26,    2.27549E-30
  1.000E-02, 1.0010E+02,   10.00, 2.0097E+00,    1.22494E-30,    1.44862E-19,    1.58799E-23,    2.76880E-30
  1.000E-01, 1.0010E+02,   10.00, 2.0097E+00,    1.37047E-28,    5.45422E-17,    1.58322E-20,    6.51448E-30
  1.000E+00, 1.0010E+02,   10.00, 2.0097E+00,    9.63886E-25,    2.18558E-14,    2.11592E-17,    2.15975E-26
  1.000E+01, 1.0010E+02,   10.00, 2.0097E+00,    1.58561E-21,    2.44703E-12,    2.54031E-14,    6.27062E-23
  1.000E+02, 1.0010E+02,   10.00, 2.0097E+00,    3.35016E-19,    3.44984E-10,    5.80805E-12,    7.91221E-20
  1.000E+03, 1.0010E+02,   10.00, 2.0097E+00,    6.81927E-17,    1.38457E-08,    3.38623E-10,    8.91069E-19
  1.000E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.25743E-15,    4.33881E-07,    3.81096E-09,    3.35859E-18
  1.010E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.27004E-15,    4.39819E-07,    3.81055E-09,    3.39133E-18
  1.110E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.38091E-15,    4.99316E-07,    3.77759E-09,    3.71823E-18
  1.210E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.46765E-15,    5.58391E-07,    3.70291E-09,    4.04806E-18
  1.310E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.53512E-15,    6.16622E-07,    3.59992E-09,    4.37927E-18
  1.410E+04, 1.0012E+02,   10.00, 2.0097E+00,    2.58778E-15,    6.73692E-07,    3.47950E-09,    4.71035E-18
  1.510E+04, 1.0013E+02,   10.00, 2.0097E+00,    2.62948E-15,    7.29370E-07,    3.35011E-09,    5.04009E-18
  1.610E+04, 1.0013E+02,   10.00, 2.0097E+00,    2.66344E-15,    7.83495E-07,    3.21800E-09,    5.36749E-18
  1.710E+04, 1.0013E+02,   10.00, 2.0097E+00,    2.69220E-15,    8.35965E-07,    3.08757E-09,    5.69177E-18
