Time,Density,gasTemp,av,OCS    ,CO     ,CS     ,CH3OH  
  1.000E-06, 1.0000E+04,   10.00, 2.9644E+00,    1.13825E-30,    1.62726E-25,    1.10702E-28,    1.13818E-30
  1.000E-05, 1.0000E+04,   10.00, 2.9644E+00,    1.28804E-30,    1.44665E-22,    1.74159E-25,    1.28727E-30
  1.000E-04, 1.0000E+04,   10.00, 2.9644E+00,    1.44736E-30,    1.41379E-19,    1.83391E-22,    1.44041E-30
  1.000E-03, 1.0000E+04,   10.00, 2.9644E+00,    2.06852E-30,    1.23110E-16,    1.66116E-19,    2.06704E-27
  1.000E-02, 1.0000E+04,   10.00, 2.9644E+00,    2.22897E-24,    4.26187E-14,    1.30871E-16,    8.32810E-23
  1.000E-01, 1.0000E+04,   10.00, 2.9644E+00,    5.82693E-21,    3.15824E-12,    8.91816E-14,    6.88662E-20
  1.000E+00, 1.0000E+04,   10.00, 2.9644E+00,    1.18697E-18,    3.67528E-10,    1.68435E-11,    8.33025E-17
  1.000E+01, 1.0000E+04,   10.00, 2.9644E+00,    1.54259E-16,    1.36834E-08,    9.12637E-10,    1.07653E-14
  1.000E+02, 1.0000E+04,   10.00, 2.9644E+00,    1.35546E-14,    4.13218E-07,    2.45710E-08,    5.42299E-13
  1.000E+03, 1.0000E+04,   10.00, 2.9644E+00,    2.50004E-12,    4.62512E-06,    2.18617E-07,    4.04272E-11
  1.000E+04, 1.0000E+04,   10.00, 2.9644E+00,    7.45515E-11,    1.48095E-05,    3.84856E-07,    8.50865E-09
  1.010E+04, 1.0000E+04,   10.00, 2.9644E+00,    7.48133E-11,    1.49038E-05,    3.84922E-07,    8.57265E-09
  1.110E+04, 1.0000E+04,   10.00, 2.9644E+00,    7.75688E-11,    1.58532E-05,    3.85929E-07,    9.17582E-09
  1.210E+04, 1.0000E+04,   10.00, 2.9644E+00,    8.03878E-11,    1.68153E-05,    3.87506E-07,    9.75365E-09
  1.310E+04, 1.0000E+04,   10.00, 2.9644E+00,    8.32409E-11,    1.77888E-05,    3.89569E-07,    1.03293E-08
  1.410E+04, 1.0000E+04,   10.00, 2.9644E+00,    8.61401E-11,    1.87726E-05,    3.92051E-07,    1.09081E-08
  1.510E+04, 1.0000E+04,   10.00, 2.9644E+00,    8.90945E-11,    1.97660E-05,    3.94898E-07,    1.14915E-08
  1.610E+04, 1.0000E+04,   10.00, 2.9644E+00,    9.21120E-11,    2.07679E-05,    3.98068E-07,    1.20799E-08
  1.710E+04, 1.0000E+04,   10.00, 2.9644E+00,    9.51987E-11,    2.17775E-05,    4.01525E-07,    1.26736E-08
  1.810E+04, 1.0000E+04,   10.00, 2.9644E+00,    9.83602E-11,    2.27942E-05,    4.05239E-07,    1.32722E-08
  1.910E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.01601E-10,    2.38172E-05,    4.09185E-07,    1.38756E-08
  2.010E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.04924E-10,    2.48461E-05,    4.13343E-07,    1.44833E-08
  2.110E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.08335E-10,    2.58803E-05,    4.17693E-07,    1.50949E-08
  2.210E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.11836E-10,    2.69193E-05,    4.22218E-07,    1.57099E-08
  2.310E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.15429E-10,    2.79630E-05,    4.26906E-07,    1.63281E-08
  2.410E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.19116E-10,    2.90108E-05,    4.31741E-07,    1.69493E-08
  2.510E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.22899E-10,    3.00625E-05,    4.36711E-07,    1.75734E-08
  2.610E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.26780E-10,    3.11179E-05,    4.41803E-07,    1.82000E-08
  2.710E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.30760E-10,    3.21767E-05,    4.47009E-07,    1.88291E-08
  2.810E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.34839E-10,    3.32386E-05,    4.52318E-07,    1.94605E-08
  2.910E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.39019E-10,    3.43035E-05,    4.57721E-07,    2.00947E-08
  3.010E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.43302E-10,    3.53712E-05,    4.63213E-07,    2.07301E-08
  3.110E+04, 1.0000E+04,   10.00, 2.9644E+00,    1.47686E-10,    3.64416E-05,    4.68784E-07,    2.13682E-08
