   1 ch       o                 hco+     e-                 1.09e-11   -2.19     165.1
   2 h+       hnc               hcn      h+                 1.00e-09    0.00       0.0
   3 h2       ch                c        h2       h         6.00e-09    0.00   40200.0
   4 h2       h2                h2       h        h         1.00e-08    0.00   84100.0
   5 h2       h2o               oh       h2       h         5.80e-09    0.00   52900.0
   6 h2       o2                o        o        h2        6.00e-09    0.00   52300.0
   7 h2       oh                o        h2       h         6.00e-09    0.00   50900.0
   8 h2       e-                h        h        e-        3.22e-09    0.35  102000.0
   9 h        ch                c        h        h         6.00e-09    0.00   40200.0
  10 h        h2                h        h        h         4.67e-07   -1.00   55000.0
  11 h        h2o               oh       h        h         5.80e-09    0.00   52900.0
  12 h        o2                o        o        h         6.00e-09    0.00   52300.0
  13 h        oh                o        h        h         6.00e-09    0.00   50900.0
  14 c+       ch2               ch2+     c                  5.20e-10    0.00       0.0
  15 c+       ch                ch+      c                  3.80e-10   -0.50       0.0
  16 c+       h2co              h2co+    c                  7.80e-10   -0.50       0.0
  17 c+       h2s               h2s+     c                  6.00e-10   -0.50       0.0
  18 c+       hco               hco+     c                  4.80e-10   -0.50       0.0
  19 c+       mg                mg+      c                  1.10e-09    0.00       0.0
  20 c+       nh3               nh3+     c                  6.72e-10    0.00      -0.5
  21 c+       no                no+      c                  7.05e-10   -0.03     -16.7
  22 c+       ns                ns+      c                  7.60e-10   -0.50       0.0
  23 c+       ocs               ocs+     c                  4.00e-10    0.00       0.0
  24 c+       so                so+      c                  2.60e-10   -0.50       0.0
  25 c+       si                si+      c                  2.10e-09    0.00       0.0
  26 c+       sic2              sic2+    c                  2.00e-09   -0.50       0.0
  27 c+       sic3              sic3+    c                  2.00e-09   -0.50       0.0
  28 c+       sic               sic+     c                  2.50e-09   -0.50       0.0
  29 c+       sih2              sih2+    c                  1.00e-09    0.00       0.0
  30 c+       sih3              sih3+    c                  1.00e-09    0.00       0.0
  31 c+       sis               sis+     c                  2.30e-09   -0.50       0.0
  32 c2+      hco               hco+     c2                 3.80e-10   -0.50       0.0
  33 c2+      no                no+      c2                 3.40e-10    0.00       0.0
  34 c2+      s                 s+       c2                 5.80e-10    0.00       0.0
  35 c2       cn+               cn       c2+                8.50e-10    0.00       0.0
  36 c2       co+               co       c2+                8.40e-10    0.00       0.0
  37 c2       n2+               n2       c2+                8.40e-10    0.00       0.0
  38 c2       o2+               o2       c2+                4.10e-10    0.00       0.0
  39 c2h+     no                no+      c2h                1.20e-10    0.00       0.0
  40 c2h+     s                 s+       c2h                1.20e-09    0.00       0.0
  41 c2h2+    h2co              h2co+    c2h2               8.60e-10   -0.50       0.0
  42 c2h2+    h2s               h2s+     c2h2               2.20e-09   -0.50       0.0
  43 c2h2+    hco               hco+     c2h2               5.00e-10   -0.50       0.0
  44 c2h2+    no                no+      c2h2               1.20e-10    0.00       0.0
