Temperature,CR,SO,H3O+
50.0,10.0,6.967436096895225e-09,4.783860754758985e-11
100.0,10.0,7.720264896266433e-09,5.7763908747315404e-11
150.0,10.0,8.366035510882714e-09,6.617078592253247e-11
200.0,10.0,8.916119861730188e-09,7.289420365246365e-11
250.0,10.0,1.148969720808411e-08,7.897143551876983e-11
300.0,10.0,1.919294508423421e-07,1.0321268019660457e-10
50.0,100.0,1.4169382664985027e-09,9.06903188272277e-11
100.0,100.0,1.7573342131304153e-09,1.6059656692746744e-10
150.0,100.0,1.7572153165383011e-09,2.037181254075681e-10
200.0,100.0,1.6664455586724823e-09,2.3182464054076984e-10
250.0,100.0,1.6878885216601514e-09,2.491803658669753e-10
300.0,100.0,2.611069903481625e-09,2.7245440836143945e-10
50.0,1000.0,7.256223614945694e-11,2.969259444807143e-10
100.0,1000.0,3.3439634444844176e-10,6.492593158449156e-10
150.0,1000.0,4.471508323300126e-10,7.966290919684936e-10
200.0,1000.0,4.968951432323672e-10,9.028357435241278e-10
250.0,1000.0,5.280242810981028e-10,9.921879858363318e-10
300.0,1000.0,5.64760097738656e-10,1.070287541775494e-09
50.0,10000.0,1.7658786518182666e-12,4.67821238537745e-10
100.0,10000.0,1.0294129900117292e-10,4.873235084938482e-09
150.0,10000.0,5.735937573251259e-10,8.04953539922212e-09
200.0,10000.0,1.3034228051730967e-09,1.019035520570333e-08
250.0,10000.0,2.045803182331905e-09,1.1693754671616717e-08
300.0,10000.0,2.6665766598575584e-09,1.282400908779839e-08
50.0,100000.0,3.648348006559989e-14,3.610072086841991e-11
100.0,100000.0,2.717038369924151e-13,3.5482777571266626e-10
150.0,100000.0,5.599489180980689e-13,6.775203684869302e-10
200.0,100000.0,9.666656753885884e-13,1.1282486755569125e-09
250.0,100000.0,1.592547025186277e-12,1.8267014643791231e-09
300.0,100000.0,2.551156056445278e-12,2.8720403939434713e-09
