Time,Density,gasTemp,av,zeta,OCS    ,CO     ,CS     ,CH3OH  
  1.000E-07, 1.0010E+02,   10.00, 2.0097E+00,    1.90508E+01,    1.00000E-30,    7.77995E-24,    1.00000E-30,    1.00000E-30
  1.000E-06, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.05102E-30,    7.77997E-23,    1.05102E-30,    1.05102E-30
  1.000E-05, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.09429E-30,    7.78020E-22,    1.09441E-30,    1.09429E-30
  1.000E-04, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.13615E-30,    7.78246E-21,    1.25401E-30,    1.13615E-30
  1.000E-03, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.17837E-30,    7.80506E-20,    1.19022E-28,    1.17882E-30
  1.000E-02, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.22631E-30,    8.03694E-19,    1.18040E-25,    1.25161E-30
  1.000E-01, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.35655E-30,    1.06467E-17,    1.22060E-22,    1.96254E-29
  1.000E+00, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    2.02019E-27,    3.88667E-16,    1.52491E-19,    4.08738E-25
  1.000E+01, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.44998E-23,    4.54748E-14,    3.04114E-16,    1.89456E-20
  1.000E+02, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    3.53038E-20,    3.33049E-11,    4.76226E-13,    1.25232E-16
  1.000E+03, 1.0010E+02,   10.00, 2.0097E+00,    1.90403E+01,    1.92263E-15,    7.26076E-09,    1.57022E-10,    4.48531E-14
  1.000E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90401E+01,    2.83871E-15,    2.01703E-07,    7.29684E-11,    8.39026E-13
  1.010E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90386E+01,    2.79719E-15,    2.02423E-07,    7.19028E-11,    8.34919E-13
  1.110E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90385E+01,    2.47147E-15,    2.08392E-07,    6.25874E-11,    7.93268E-13
  1.210E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90384E+01,    2.25170E-15,    2.12433E-07,    5.52304E-11,    7.51837E-13
  1.310E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90382E+01,    2.09073E-15,    2.14879E-07,    4.93247E-11,    7.11661E-13
  1.410E+04, 1.0012E+02,   10.00, 2.0097E+00,    1.90380E+01,    1.96544E-15,    2.15975E-07,    4.45160E-11,    6.73181E-13
  1.510E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90378E+01,    1.86374E-15,    2.15914E-07,    4.05493E-11,    6.36552E-13
  1.610E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90376E+01,    1.77870E-15,    2.14853E-07,    3.72377E-11,    6.01801E-13
  1.710E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90374E+01,    1.70604E-15,    2.12931E-07,    3.44426E-11,    5.68895E-13
  1.810E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90372E+01,    1.64292E-15,    2.10271E-07,    3.20601E-11,    5.37772E-13
  1.910E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90371E+01,    1.58738E-15,    2.06983E-07,    3.00110E-11,    5.08361E-13
  2.010E+04, 1.0013E+02,   10.00, 2.0097E+00,    1.90369E+01,    1.53801E-15,    2.03167E-07,    2.82348E-11,    4.80587E-13
  2.110E+04, 1.0014E+02,   10.00, 2.0097E+00,    1.90367E+01,    1.49378E-15,    1.98913E-07,    2.66840E-11,    4.54373E-13
  2.210E+04, 1.0014E+02,   10.00, 2.0097E+00,    1.90365E+01,    1.45390E-15,    1.94304E-07,    2.53216E-11,    4.29646E-13
  2.310E+04, 1.0014E+02,   10.00, 2.0097E+00,    1.90363E+01,    1.41775E-15,    1.89415E-07,    2.41178E-11,    4.06335E-13
  2.410E+04, 1.0014E+02,   10.00, 2.0097E+00,    1.90361E+01,    1.38485E-15,    1.84314E-07,    2.30488E-11,    3.84372E-13
  2.510E+04, 1.0014E+02,   10.00, 2.0097E+00,    1.90359E+01,    1.35479E-15,    1.79061E-07,    2.20952E-11,    3.63691E-13
