!MOLECULE
CO
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
41
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.000000000	    1.0	    0
    2     3.845033413	    3.0	    1
    3    11.534919938	    5.0	    2
    4    23.069512649	    7.0	    3
    5    38.448164669	    9.0     4
    6    57.670329083	   11.0     5
    7    80.735459105	   13.0	    6
    8   107.642407981	   15.0	    7
    9   138.390328288	   17.0	    8
   10   172.978074417	   19.0	    9
   11   211.404098498	   21.0	   10
   12   253.667154063	   23.0	   11
   13   299.765594677	   25.0	   12
   14   349.697573572	   27.0	   13
   15   403.461144648	   29.0	   14
   16   461.054460258	   31.0	   15
   17   522.475174766	   33.0	   16
   18   587.720842073	   35.0	   17
   19   656.789215021	   37.0	   18
   20   729.677447242	   39.0	   19
   21   806.382793369	   41.0	   20
   22   886.902407768	   43.0	   21
   23   971.233142570	   45.0	   22
   24  1059.371853104	   47.0	   23
   25  1151.314993047	   49.0	   24
   26  1247.059216721	   51.0	   25
   27  1346.600778694	   53.0	   26
   28  1449.935933301	   55.0	   27
   29  1557.060734626	   57.0	   28
   30  1667.970937865	   59.0	   29
   31  1782.662398043	   61.0	   30
   32  1901.130769241	   63.0	   31
   33  2023.371506269	   65.0	   32
   34  2149.379864360	   67.0	   33
   35  2279.151100482	   69.0	   34
   36  2412.680169220	   71.0	   35
   37  2549.961925315	   73.0	   36
   38  2690.991324173	   75.0	   37
   39  2835.762724236	   77.0	   38
   40  2984.270676211	   79.0	   39
   41  3136.509541175	   81.0	   40
!NUMBER OF RADIATIVE TRANSITIONS
40
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   7.203e-08     115.2712018      5.53
    2     3     2   6.910e-07     230.5380000     16.60
    3     4     3   2.497e-06     345.7959899     33.19
    4     5     4   6.126e-06     461.0407682     55.32
    5     6     5   1.221e-05     576.2679305     82.97
    6     7     6   2.137e-05     691.4730763    116.16
    7     8     7   3.422e-05     806.6518060    154.87
    8     9     8   5.134e-05     921.7997000    199.11
    9    10     9   7.330e-05    1036.9123930    248.88
   10    11    10   1.006e-04    1151.9854520    304.16
   11    12    11   1.339e-04    1267.0144860    364.97
   12    13    12   1.735e-04    1381.9951050    431.29
   13    14    13   2.200e-04    1496.9229090    503.13
   14    15    14   2.739e-04    1611.7935180    580.49
   15    16    15   3.354e-04    1726.6025057    663.35
   16    17    16   4.050e-04    1841.3455060    751.72
   17    18    17   4.829e-04    1956.0181390    845.59
   18    19    18   5.695e-04    2070.6159930    944.97
   19    20    19   6.650e-04    2185.1346800   1049.84
   20    21    20   7.695e-04    2299.5698420   1160.20
   21    22    21   8.833e-04    2413.9171130   1276.05
   22    23    22   1.006e-03    2528.1720600   1397.38
   23    24    23   1.139e-03    2642.3303459   1524.19
   24    25    24   1.281e-03    2756.3875840   1656.47
   25    26    25   1.432e-03    2870.3394070   1794.23
   26    27    26   1.592e-03    2984.1814550   1937.44
   27    28    27   1.761e-03    3097.9093610   2086.12
   28    29    28   1.940e-03    3211.5187506   2240.24
   29    30    29   2.126e-03    3325.0052827   2399.82
   30    31    30   2.321e-03    3438.3646110   2564.83
   31    32    31   2.524e-03    3551.5923610   2735.28
   32    33    32   2.735e-03    3664.6841800   2911.15
   33    34    33   2.952e-03    3777.6357280   3092.45
   34    35    34   3.175e-03    3890.4427170   3279.15
   35    36    35   3.404e-03    4003.1007876   3471.27
   36    37    36   3.638e-03    4115.6055850   3668.78
   37    38    37   3.878e-03    4227.9527744   3871.69
   38    39    38   4.120e-03    4340.1381120   4079.98
   39    40    39   4.365e-03    4452.1571221   4293.64
   40    41    40   4.613e-03    4564.0056399   4512.67
!NUMBER OF COLL PARTNERS
2
!COLLISIONS BETWEEN
2 CO-pH2 from Yang et al. (2010) 
!NUMBER OF COLL TRANS
820
!NUMBER OF COLL TEMPS
25
!COLL TEMPS
                    2.0     5.0     10.0    20.0    30.0    40.0    50.0    60.0    70.0    80.0    90.0   100.0   150.0   200.0   300.0   400.0   500.0   600.0   700.0   750.0   800.0   900.0  1000.0  2000.0  3000.0
!TRANS+ UP+ LOW+ COLLRATES(cm^3 s^-1)
    1    2   1    2.954E-11 3.251E-11 3.302E-11 3.249E-11 3.257E-11 3.294E-11 3.337E-11 3.380E-11 3.415E-11 3.445E-11 3.469E-11 3.487E-11 3.532E-11 3.529E-11 3.492E-11 3.450E-11 3.421E-11 3.404E-11 3.396E-11 3.394E-11 3.395E-11 3.399E-11 3.409E-11 3.598E-11 3.818E-11
    2    3   1    2.870E-11 2.882E-11 3.015E-11 3.088E-11 3.110E-11 3.122E-11 3.131E-11 3.139E-11 3.148E-11 3.158E-11 3.170E-11 3.185E-11 3.290E-11 3.431E-11 3.727E-11 3.987E-11 4.202E-11 4.381E-11 4.533E-11 4.601E-11 4.665E-11 4.781E-11 4.885E-11 5.610E-11 6.083E-11
    3    3   2    8.890E-11 7.838E-11 7.150E-11 6.440E-11 6.118E-11 5.995E-11 5.972E-11 6.000E-11 6.052E-11 6.116E-11 6.184E-11 6.250E-11 6.528E-11 6.704E-11 6.885E-11 6.969E-11 7.021E-11 7.060E-11 7.096E-11 7.113E-11 7.130E-11 7.165E-11 7.200E-11 7.596E-11 7.983E-11
    4    4   1    4.650E-12 4.820E-12 5.162E-12 5.518E-12 6.000E-12 6.591E-12 7.225E-12 7.863E-12 8.482E-12 9.070E-12 9.621E-12 1.013E-11 1.214E-11 1.346E-11 1.500E-11 1.584E-11 1.636E-11 1.672E-11 1.698E-11 1.710E-11 1.718E-11 1.734E-11 1.748E-11 1.837E-11 1.904E-11
    5    4   2    4.734E-11 4.758E-11 5.011E-11 5.091E-11 5.081E-11 5.070E-11 5.062E-11 5.060E-11 5.063E-11 5.070E-11 5.083E-11 5.100E-11 5.242E-11 5.451E-11 5.937E-11 6.404E-11 6.816E-11 7.172E-11 7.481E-11 7.613E-11 7.751E-11 7.990E-11 8.204E-11 9.630E-11 1.049E-10
    6    4   3    1.108E-10 9.047E-11 7.946E-11 7.050E-11 6.693E-11 6.557E-11 6.529E-11 6.559E-11 6.620E-11 6.698E-11 6.784E-11 6.873E-11 7.279E-11 7.589E-11 8.001E-11 8.269E-11 8.467E-11 8.626E-11 8.758E-11 8.804E-11 8.872E-11 8.972E-11 9.062E-11 9.730E-11 1.022E-10
