!MOLECULE
OH
!MOLECULAR WEIGHT
17.0
!NUMBER OF ENERGY LEVELS
20
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J, parity , (Omega - 1/2)
  1        0.00000  	 4.0	     1.5_-_1
  2        0.05559  	 4.0	     1.5_+_1
  3       83.72300  	 6.0	     2.5_+_1
  4       83.92400  	 6.0	     2.5_-_1
  5      126.29600  	 2.0	     0.5_+_0
  6      126.45300  	 2.0	     0.5_-_0
  7      187.49700  	 4.0	     1.5_-_0
  8      187.79700  	 4.0	     1.5_+_0
  9      201.93100  	 8.0	     3.5_-_1
 10      202.37900  	 8.0	     3.5_+_1
 11      288.77600  	 6.0	     2.5_+_0
 12      289.04800  	 6.0	     2.5_-_0
 13      355.12000	10.0	     4.5_+_1
 14      355.91400	10.0	     4.5_-_1
 15      429.28300	 8.0	     3.5_-_0
 16      429.46700	 8.0	     3.5_+_0
 17      543.59500	12.0	     5.5_-_1
 18      544.82900	12.0	     5.5_+_1
 19      608.19800	10.0	     4.5_-_0
 20      608.20300	10.0	     4.5_+_0
!NUMBER OF RADIATIVE TRANSITIONS
50
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
  1     3    1      1.380E-01	  2509.95240   120.5  
  2     4    2      1.388E-01	  2514.31168   120.7
  3     9    3      5.202E-01	  3543.78669   290.5
  4    10    4      5.235E-01	  3551.19156   291.2
  5    13    9      1.267E+00	  4592.49068   510.9
  6    14   10      1.276E+00	  4602.86350   512.1
  7    17   13      2.501E+00	  5650.33835   782.1
  8    18   14      2.519E+00	  5663.52922   783.9
  9     7    5      6.450E-02	  1834.75982   269.8
 10     8    6      6.483E-02	  1839.04685   270.2
 11    11    7      3.530E-01	  3036.26804   415.5
 12    12    8      3.531E-01	  3035.42862   415.9
 13    15   11      1.014E+00	  4212.29389   617.6
 14    16   12      1.012E+00	  4209.65572   617.9
 15    20   15      2.182E+00	  5363.88666   875.1
 16    19   16      2.175E+00	  5358.22058   875.1
 17     5    1      3.598E-02	  3786.25883   181.7
 18     6    2      3.606E-02	  3789.29902   181.9
 19     7    3      9.250E-03	  3111.06625   269.8
 20     8    4      9.270E-03	  3114.03420   270.2
 21    11    9      2.850E-03	  2603.54760   415.5
 22    12   10      2.830E-03	  2598.27125   415.9
 23    15   13      1.090E-03	  2223.35081   617.6
 24    16   14      1.060E-03	  2205.06347   617.9
 25    20   17      4.350E-04	  1936.89911   875.1
 26    19   18      4.110E-04	  1899.75483   875.1
 27     8    1      5.500E-02	  5630.01242   270.2
 28     7    2      5.470E-02	  5619.35210   269.8
 29    12    3      5.660E-02	  6155.48864   415.9
 30    11    4      5.620E-02	  6141.30846   415.5
 31    16    9      6.480E-02	  6821.35767   617.9
 32    15   10      6.430E-02	  6802.41079   617.6
 33    19   13      7.350E-02	  7587.08757   875.1
 34    20   14      7.280E-02	  7563.43394   875.1
 35    11    1      1.750E-02	  8657.28669   415.5
 36    12    2      1.750E-02	  8663.77449   415.9
 37    15    3      3.150E-02	 10359.62818   617.6
 38    16    4      3.150E-02	 10359.11853   617.9
 39    20    9      4.090E-02	 12179.72815   875.1
 40    19   10      4.080E-02	 12166.14755   875.1
 41     2    1      8.632E-11	     1.66655     0.1
 42     4    3      1.660E-09	     6.02583   120.7
 43    10    9      9.604E-09	    13.43070   291.2
 44    14   13      3.215E-08	    23.80352   512.1
 45    18   17      7.910E-08	    36.99439   783.9
 46     6    5      1.156E-09	     4.70674   181.9
 47     8    7      1.160E-09	     8.99377   270.2
 48    12   11      6.605E-10	     8.15435   415.9
 49    16   15      1.298E-10	     5.51618   617.9
 50    20   19      2.485E-15	     0.14990   875.1
!NUMBER OF COLL PARTNERS
2
!COLLISIONS BETWEEN
2 OH-pH2 from Offer et al. (1994) + Offer priv. comm.
!NUMBER OF COLL TRANS
190
!NUMBER OF COLL TEMPS
6
!COLL TEMPS
   15.0   30.0   60.0  100.0  200.0  300.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
  1   2    1   3.3E-11   3.7E-11   3.8E-11   3.8E-11   3.7E-11   3.6E-11  
  2   4    2   5.8E-12   4.9E-12   4.0E-12   3.6E-12   3.7E-12   4.3E-12  
  3   4    1   9.0E-12   1.3E-11   1.6E-11   1.8E-11   2.1E-11   2.4E-11  
  4   3    2   5.7E-11   5.8E-11   6.2E-11   6.9E-11   8.7E-11   9.9E-11  
  5   3    1   5.1E-12   4.1E-12   3.2E-12   3.1E-12   3.6E-12   4.5E-12  
  6   4    3   1.1E-11   1.4E-11   1.6E-11   1.6E-11   1.6E-11   1.5E-11  
  7   6    2   1.4E-12   1.8E-12   1.7E-12   1.5E-12   1.1E-12   1.0E-12  
  8   6    1   6.6E-11   9.9E-11   1.3E-10   1.5E-10   1.8E-10   1.9E-10  
  9   6    4   7.2E-11   1.0E-10   1.2E-10   1.3E-10   1.4E-10   1.4E-10  
 10   6    3   8.4E-13   1.2E-12   1.3E-12   1.2E-12   1.1E-12   1.2E-12  
 11   5    2   8.8E-11   1.3E-10   1.6E-10   1.9E-10   2.2E-10   2.4E-10  
 12   5    1   7.3E-13   9.4E-13   9.2E-13   8.4E-13   6.7E-13   5.9E-13  
 13   5    4   3.4E-12   4.6E-12   4.7E-12   4.3E-12   3.9E-12   3.8E-12  
 14   5    3   3.8E-11   5.4E-11   6.3E-11   6.8E-11   7.4E-11   7.6E-11  
 15   6    5   9.3E-12   1.4E-11   1.7E-11   1.9E-11   2.0E-11   2.0E-11  
 16   8    2   6.8E-11   8.8E-11   8.8E-11   8.8E-11   9.6E-11   1.0E-10  
 17   8    1   7.0E-12   7.7E-12   5.3E-12   3.4E-12   1.9E-12   1.5E-12  
 18   8    4   1.9E-11   2.1E-11   1.4E-11   8.6E-12   4.3E-12   3.0E-12  
 19   8    3   7.4E-11   9.3E-11   8.8E-11   8.4E-11   9.2E-11   1.0E-10  
 20   8    6   1.3E-12   1.7E-12   2.2E-12   2.7E-12   4.2E-12   5.6E-12  
 21   8    5   5.1E-12   7.2E-12   8.0E-12   8.4E-12   9.6E-12   1.1E-11  
 22   7    2   4.6E-12   5.3E-12   4.1E-12   3.0E-12   2.0E-12   1.7E-12  
 23   7    1   5.4E-11   6.8E-11   6.3E-11   6.0E-11   6.4E-11   6.8E-11  
 24   7    4   2.1E-10   2.6E-10   2.3E-10   2.1E-10   2.0E-10   2.0E-10  
 25   7    3   3.7E-12   4.2E-12   3.0E-12   2.0E-12   1.2E-12   9.4E-13  
 26   7    6   3.4E-11   4.1E-11   3.5E-11   2.9E-11   2.4E-11   2.3E-11  
 27   7    5   6.5E-13   1.0E-12   1.6E-12   2.3E-12   3.9E-12   5.3E-12  
 28   8    7   1.2E-11   1.5E-11   1.2E-11   8.9E-12   6.9E-12   6.4E-12  
 29  10    2   8.5E-13   1.7E-12   2.6E-12   3.3E-12   4.4E-12   5.2E-12  
 30  10    1   9.8E-14   2.0E-13   3.1E-13   3.7E-13   5.0E-13   6.0E-13  
 31  10    4   9.5E-13   1.8E-12   2.6E-12   3.0E-12   3.4E-12   3.8E-12  
 32  10    3   1.7E-12   4.0E-12   6.8E-12   8.4E-12   1.1E-11   1.3E-11  
 33  10    6   1.7E-13   3.5E-13   5.0E-13   5.5E-13   5.6E-13   5.6E-13  
 34  10    5   6.7E-13   1.4E-12   2.3E-12   3.1E-12   4.7E-12   5.9E-12  
 35  10    8   1.2E-11   2.4E-11   3.5E-11   4.2E-11   4.9E-11   5.1E-11  
 36  10    7   1.3E-13   2.8E-13   4.5E-13   5.6E-13   7.6E-13   9.6E-13  
 37   9    2   2.7E-13   5.5E-13   8.6E-13   1.1E-12   1.4E-12   1.6E-12  
 38   9    1   5.3E-12   1.1E-11   1.7E-11   2.2E-11   3.1E-11   3.6E-11  
 39   9    4   1.7E-11   3.4E-11   5.3E-11   6.5E-11   8.4E-11   9.4E-11  
 40   9    3   9.3E-13   1.8E-12   2.6E-12   3.1E-12   4.0E-12   4.9E-12  
 41   9    6   7.4E-13   1.5E-12   2.6E-12   3.5E-12   5.6E-12   7.2E-12  
 42   9    5   2.8E-14   6.0E-14   9.6E-14   1.2E-13   1.7E-13   2.1E-13  
 43   9    8   1.5E-13   3.1E-13   4.5E-13   5.3E-13   7.4E-13   9.6E-13  
 44   9    7   4.5E-12   9.1E-12   1.4E-11   1.6E-11   1.9E-11   2.0E-11  
 45  10    9   3.3E-12   6.1E-12   8.3E-12   8.9E-12   9.1E-12   9.0E-12  
 46  12    2   1.0E-12   1.2E-12   1.1E-12   9.8E-13   9.4E-13   9.7E-13  
 47  12    1   2.0E-11   2.5E-11   2.4E-11   2.4E-11   2.8E-11   3.2E-11  
 48  12    4   4.5E-11   5.7E-11   5.4E-11   5.4E-11   6.2E-11   6.9E-11  
 49  12    3   2.1E-12   2.6E-12   2.4E-12   2.1E-12   2.0E-12   2.2E-12  
 50  12    6   5.6E-12   7.0E-12   6.7E-12   6.7E-12   7.8E-12   8.7E-12  
 51  12    5   1.9E-13   2.3E-13   1.9E-13   1.7E-13   2.1E-13   2.9E-13  
 52  12    8   5.9E-12   7.2E-12   6.3E-12   5.5E-12   5.4E-12   5.8E-12  
 53  12    7   1.3E-11   1.6E-11   1.5E-11   1.4E-11   1.4E-11   1.4E-11  
 54  12   10   2.4E-12   3.1E-12   2.7E-12   2.2E-12   1.7E-12   1.6E-12  
 55  12    9   6.4E-11   7.9E-11   7.3E-11   6.7E-11   6.7E-11   6.9E-11  
 56  11    2   4.7E-12   5.7E-12   5.2E-12   5.0E-12   5.9E-12   6.9E-12  
 57  11    1   9.9E-13   1.2E-12   9.4E-13   7.5E-13   5.6E-13   5.1E-13  
 58  11    4   2.8E-12   3.5E-12   3.1E-12   2.6E-12   2.3E-12   2.2E-12  
