NAME,MASS,BINDING ENERGY,DESORPTION PREFACTOR,DIFFUSION BARRIER,DIFFUSION PREFACTOR,SOLID_FRACTION,MONO_FRACTION,VOLCANO_FRACTION,ENTHALPY,Ix,Iy,Iz,SYMMETRY FACTOR
H,1,650.0,0.0,0.0,0.0,0.0,0.0,0.0,52.10277246653919,-999.0,-999.0,-999.0,-1
H+,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.69000956022944,-999.0,-999.0,-999.0,-1
H2,2,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
H2+,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.75525812619503,-999.0,-999.0,-999.0,-1
H3+,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.5066921606118,-999.0,-999.0,-999.0,-1
HE,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
HE+,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.9985659655832,-999.0,-999.0,-999.0,-1
HEH+,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.24139579349907,-999.0,-999.0,-999.0,-1
C,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.33580305927342,-999.0,-999.0,-999.0,-1
C+,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.031309751434,-999.0,-999.0,-999.0,-1
CH,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.52007648183556,-999.0,-999.0,-999.0,-1
CH+,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.9263862332696,-999.0,-999.0,-999.0,-1
CH2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59823135755258,-999.0,-999.0,-999.0,-1
CH2+,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.1888145315487,-999.0,-999.0,-999.0,-1
N,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.92423518164436,-999.0,-999.0,-999.0,-1
N+,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.3083173996176,-999.0,-999.0,-999.0,-1
CH3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00932122370937,-999.0,-999.0,-999.0,-1
CH3+,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.809034416826,-999.0,-999.0,-999.0,-1
NH,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.76003824091778,-999.0,-999.0,-999.0,-1
NH+,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.74713193116634,-999.0,-999.0,-999.0,-1
CH4,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.809034416826005,-999.0,-999.0,-999.0,-1
CH4+,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.4949808795411,-999.0,-999.0,-999.0,-1
NH2,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.46462715105162,-999.0,-999.0,-999.0,-1
NH2+,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.2227533460803,-999.0,-999.0,-999.0,-1
O,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.56716061185468,-999.0,-999.0,-999.0,-1
O+,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.48064053537286,-999.0,-999.0,-999.0,-1
CH5+,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.92065009560227,-999.0,-999.0,-999.0,-1
NH3,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.887667304015295,-999.0,-999.0,-999.0,-1
NH3+,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.02509560229444,-999.0,-999.0,-999.0,-1
OH,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.966539196940726,-999.0,-999.0,-999.0,-1
OH+,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.12786806883366,-999.0,-999.0,-999.0,-1
H2O,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.79349904397705,-999.0,-999.0,-999.0,-1
H2O+,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.17184512428295,-999.0,-999.0,-999.0,-1
NH4+,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.97992351816444,-999.0,-999.0,-999.0,-1
H3O+,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.197896749522,-999.0,-999.0,-999.0,-1
C2,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.00023900573612,-999.0,-999.0,-999.0,-1
C2+,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.2045889101338,-999.0,-999.0,-999.0,-1
MG,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
MG+,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-1
C2H,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.72179732313575,-999.0,-999.0,-999.0,-1
